procurement_id,date,school_id,vendor_name,grain_type,quantity,unit,total_cost,payment_status
MDM008522,2026-01-14,SCH0249,Singh Brothers,Wheat,,,336,Pending
MDM010158,2025-08-10,SCH0140,Kumar General Store,Wheat,40.7,KG,1221,Cleared
MDM007882,2025-11-03,SCH0514,Kumar General Store,oil,54.2,KG,6504,Paid
MDM004875,2026-03-19,SCH0445,Sharma Traders Pvt Ltd,Rice,0.8,BAG_50KG,1600,Due
MDM011422,2025-08-16,SCH0172,Kumar Supplies,Rice,,,2104,Paid
MDM007746,2025-04-10,SCH0357,Kumar Supplies,Rice,,,596,Paid
MDM003693,2025-08-05,SCH0267,Sharma Traders Pvt Ltd,Dal,,,2826,
MDM001497,2025-12-09,SCH0210,Singh Agro,Rice,16100.0,G,644,Due
MDM001214,2025-06-25,SCH0301,Singh Agro,Dal,,,1278,Pending
MDM005465,2025-06-14,SCH0233,Singh Agro,Wheat,57.0,KG,1710,
MDM011101,2025-10-10,SCH0283,Sharma & Sons,Atta,28.5,KG,855,Pending
MDM011169,2026-02-11,SCH0113,S. Agro Works,Rice,,,1320,Due
MDM004084,2025-06-04,SCH0037,Singh Brothers,Wheat,39.6,KG,1188,Cleared
MDM008099,2025-08-27,SCH0340,Sharma Traders Pvt Ltd,Wheat,21.5,KG,645,Cleared
MDM009206,2025-08-27,SCH0366,Goyal Rice Mill,Dal,0.5539999999999999,BORI,2493,Paid
MDM002217,2025-10-01,SCH0462,Singh Agro,Rice,,,1800,Cleared
MDM001670,2026-03-23,SCH0228,Goyal Mill,Mustard Oil,37.0,KG,4440,Paid
MDM000813,2025-11-25,SCH0492,Sharma Traders,Wheat,0.8959999999999999,SACK,1344,Paid
MDM011888,2026-02-06,SCH0321,Sharma & Sons,Cooking Oil,41900.0,G,,Due
MDM008145,2025-10-03,SCH0462,Goyal Rice Mill,Mustard Oil,16.3,KG,,Pending
MDM002981,2025-12-16,SCH0183,Singh Brothers,Dal,,,3159,Pending
MDM005964,2026-02-16,SCH0424,S. Agro Works,Wheat,52.5,KG,1575,Pending
MDM007657,2025-10-07,SCH0117,S. Agro Works,oil,,,5592,Pending
MDM006963,2025-04-29,SCH0061,Kumar & Co.,oil,0.7120000000000001,BAG,4272,Paid
MDM000742,2026-03-20,SCH0076,S. Agro Works,Dal,34.2,KG,3078,
MDM005298,2026-03-20,SCH0378,Kumar Supplies,oil,41000.0,G,4920,Pending
MDM011357,2026-02-06,SCH0105,Kumar & Co.,Cooking Oil,,,6264,
MDM004065,2025-07-30,SCH0421,Kumar Supplies,Dal,47.9,KG,4311,Pending
MDM010975,2025-04-19,SCH0329,S. Agro Works,Mustard Oil,16600.0,G,1992,Cleared
MDM002616,2026-02-10,SCH0295,Singh Brothers,Dal,17400.0,G,1566,Paid
MDM009238,2026-02-09,SCH0053,Sharma & Sons,Rice,,,1244,Paid
MDM003882,2025-04-25,SCH0426,Goyal Rice Mill,Wheat,28000.0,G,840,Paid
MDM005266,2025-04-04,SCH0494,Kumar General Store,Cooking Oil,48.1,KG,5772,
MDM008835,2026-01-21,SCH0113,Sharma Traders,Rice,,,2360,Pending
MDM011468,2026-03-24,SCH0094,Sharma Traders Pvt Ltd,Dal,0.51,SACK,2295,Due
MDM006795,2026-03-20,SCH0445,S. Agro Works,Rice,0.484,SACK,968,Pending
MDM000829,2025-05-22,SCH0445,Kumar Supplies,Rice,42.2,KG,1688,Paid
MDM009677,2026-01-25,SCH0201,Singh Brothers,Mustard Oil,,,5808,
