record_id,date,school_id,grade,total_students,present_students,teacher_present,marked_by,attendance_rate,impossible_attendance_flag,proxy_attendance_flag,record_id_missing_flag
ATT0014650,2025-07-26,SCH0596,5,85,60,Present,Admin,70.58823529411765,False,False,False
ATT0009232,2025-03-11,SCH0054,1,197,119,Present,Admin,60.40609137055838,False,False,False
ATT0006474,2025-05-16,SCH0433,5,58,52,Present,Class Teacher,89.65517241379311,False,False,False
ATT0018737,2025-04-21,SCH0379,6,94,71,Present,Unknown,75.53191489361703,False,False,False
ATT0012348,2025-08-30,SCH0208,1,234,194,Present,Admin,82.90598290598291,False,False,False
ATT0017158,2025-05-19,SCH0505,2,85,58,Absent,Unknown,68.23529411764706,False,False,False
ATT0014975,2025-04-15,SCH0128,2,236,189,Present,Unknown,80.08474576271186,False,False,False
ATT0011151,2025-06-24,SCH0393,6,261,197,Present,Admin,75.47892720306514,False,False,False
ATT0002175,2025-05-17,SCH0398,3,260,271,Present,Unknown,,True,False,False
ATT0001505,2025-05-04,SCH0377,8,151,125,Present,Clerk,82.78145695364239,False,False,False
ATT0008971,2025-09-07,SCH0268,7,96,61,Present,Unknown,63.541666666666664,False,False,False
ATT0000448,2025-07-30,SCH0286,1,272,261,Present,Clerk,95.95588235294117,False,False,False
ATT0007459,2025-05-26,SCH0403,8,181,188,Present,Headmaster,,True,False,False
ATT0019075,2025-10-30,SCH0212,2,259,241,Present,Unknown,93.05019305019306,False,False,False
ATT0005117,2025-09-20,SCH0434,8,287,190,Present,Unknown,66.2020905923345,False,False,False
ATT0013119,2026-02-18,SCH0555,5,145,122,Present,Admin,84.13793103448276,False,False,False
ATT0013105,2026-01-24,SCH0074,9,163,146,Present,Headmaster,89.57055214723927,False,False,False
ATT0006545,2025-08-08,SCH0335,2,110,100,Present,Unknown,90.9090909090909,False,False,False
ATT0010646,2026-10-01,SCH0329,1,79,74,Present,Clerk,93.67088607594937,False,False,False
ATT0008701,2025-10-10,SCH0369,5,288,231,Present,Unknown,80.20833333333334,False,False,False
ATT0005000,2025-12-04,SCH0180,1,224,177,Present,Admin,79.01785714285714,False,False,False
ATT0001394,2025-09-07,SCH0328,1,183,183,Present,Admin,100.0,False,True,False
ATT0011718,2025-07-12,SCH0188,5,167,167,Present,Clerk,100.0,False,False,False
ATT0004412,2025-08-05,SCH0352,4,70,46,Present,Unknown,65.71428571428571,False,False,False
ATT0016357,2025-09-11,SCH0217,2,61,43,Present,Clerk,70.49180327868852,False,False,False
ATT0010389,2025-10-23,SCH0454,5,187,131,Present,Headmaster,70.05347593582889,False,False,False
ATT0004549,2025-10-01,SCH0517,3,70,61,Unknown,Admin,87.14285714285714,False,False,False
ATT0003932,2025-11-09,SCH0451,3,296,296,Present,Headmaster,100.0,False,True,False
ATT0010030,2025-10-27,SCH0598,4,218,151,Present,Headmaster,69.26605504587155,False,False,False
ATT0003617,2025-08-22,SCH0304,5,74,47,Present,Class Teacher,63.51351351351351,False,False,False
ATT0010130,2026-03-03,SCH0572,1,273,205,Present,Unknown,75.0915750915751,False,False,False
ATT0002302,2026-03-25,SCH0453,4,135,96,Present,Headmaster,71.11111111111111,False,False,False
ATT0008115,2025-10-31,SCH0203,1,140,125,Present,Clerk,89.28571428571429,False,False,False
ATT0011369,2025-06-10,SCH0215,5,284,183,Present,Clerk,64.43661971830986,False,False,False
ATT0013204,2025-09-30,SCH0083,6,254,182,Present,Headmaster,71.65354330708661,False,False,False
ATT0014748,2026-02-27,SCH0418,8,284,270,Present,Clerk,95.07042253521126,False,False,False
ATT0009013,2025-10-10,SCH0300,5,257,173,Present,Headmaster,67.31517509727627,False,False,False
ATT0012196,2026-12-03,SCH0400,2,215,183,Present,Class Teacher,85.11627906976744,False,False,False
ATT0014093,2025-05-29,SCH0253,3,267,213,Present,Unknown,79.7752808988764,False,False,False
ATT0010139,2025-10-08,SCH0534,1,126,80,Present,Headmaster,63.49206349206349,False,False,False
ATT0016398,2026-01-13,SCH0537,7,258,178,Present,Headmaster,68.9922480620155,False,False,False
ATT0010481,2025-05-07,SCH0363,4,86,70,Present,Clerk,81.3953488372093,False,False,False
ATT0007137,2025-05-15,SCH0414,7,95,87,Present,Unknown,91.57894736842105,False,False,False
,2026-02-24,SCH0012,6,112,84,Present,Class Teacher,75.0,False,False,True
ATT0012018,2025-08-13,SCH0265,3,202,157,Present,Headmaster,77.72277227722772,False,False,False
ATT0019081,2025-09-08,SCH0309,3,246,181,Present,Admin,73.57723577235772,False,False,False
ATT0016530,2025-04-22,SCH0166,9,217,179,Present,Headmaster,82.48847926267281,False,False,False
ATT0012828,2026-02-18,SCH0385,7,182,128,Absent,Unknown,70.32967032967034,False,False,False
ATT0014175,2025-06-15,SCH0213,4,196,185,Present,Headmaster,94.38775510204081,False,False,False
ATT0005035,2025-07-22,SCH0099,2,174,145,Present,Clerk,83.33333333333334,False,False,False
ATT0005655,2025-07-21,SCH0289,2,183,146,Present,Clerk,79.78142076502732,False,False,False
ATT0014219,2025-07-04,SCH0397,3,186,153,Present,Headmaster,82.25806451612904,False,False,False
ATT0018689,2025-10-23,SCH0213,2,190,157,Unknown,Admin,82.63157894736842,False,False,False
ATT0011622,2026-03-18,SCH0205,6,134,89,Present,Unknown,66.4179104477612,False,False,False
ATT0018888,2025-09-04,SCH0298,5,154,140,Present,Class Teacher,90.9090909090909,False,False,False
ATT0010713,2025-08-17,SCH0235,5,299,315,Present,Class Teacher,,True,False,False
ATT0017567,2026-01-24,SCH0059,4,267,231,Present,Unknown,86.51685393258427,False,False,False
ATT0007223,2025-10-29,SCH0381,8,63,55,Present,Class Teacher,87.3015873015873,False,False,False
ATT0003740,2025-08-25,SCH0131,1,161,109,Present,Class Teacher,67.70186335403726,False,False,False
ATT0002196,2026-02-25,SCH0470,5,153,153,Present,Class Teacher,100.0,False,False,False
ATT0008740,2026-01-01,SCH0596,2,160,131,Present,Unknown,81.875,False,False,False
ATT0012217,2025-04-16,SCH0132,4,51,45,Present,Class Teacher,88.23529411764706,False,False,False
ATT0014927,2025-05-13,SCH0593,1,77,65,Present,Headmaster,84.4155844155844,False,False,False
ATT0014708,2026-03-07,SCH0371,4,110,69,Present,Clerk,62.727272727272734,False,False,False
ATT0009416,2025-11-08,SCH0345,9,266,260,Present,Headmaster,97.74436090225564,False,False,False
ATT0006308,2025-07-08,SCH0148,1,197,179,Unknown,Admin,90.86294416243655,False,False,False
