procurement_id,date,school_id,vendor_name,grain_type,quantity,unit,total_cost,payment_status,quantity_kg,total_cost_inr,cost_per_kg
MDM008522,2026-01-14,SCH0249,Singh Brothers,Wheat,,,336/-,Pending,0.0,336.0,0.0
MDM010158,2025-08-10,SCH0140,Kumar General Store,Wheat,40.7,KGS,1221,Paid,40.7,1221.0,29.999999999999996
MDM007882,2025-03-11,SCH0514,Kumar General Store,Edible Oil,54.2,KGS,6504,Paid,54.2,6504.0,120.0
MDM004875,2026-03-19,SCH0445,Sharma Traders,Rice,0.8,50kg Bags,"Rs. 1,600",Pending,40.0,0.16,0.004
MDM011422,2025-08-16,SCH0172,Kumar Supplies,Rice,,,"Rs. 2,104",Paid,0.0,0.2104,0.0
MDM007746,2025-04-10,SCH0357,Kumar Supplies,Rice,14.9 kg,,596,Paid,14.9,596.0,40.0
MDM003693,2025-08-05,S0267,Sharma Traders,Pulses,,,2826,Pending,0.0,2826.0,0.0
MDM001497,2025-09-12,SCH0210,Singh Agro,Rice,16100,Grams,₹644,Pending,16.1,644.0,40.0
MDM001214,2025-06-25,SCH0301,Singh Agro,Pulses,14.2 kg,,1278,Pending,14.2,1278.0,90.0
MDM005465,2025-06-14,SCH0233,Singh Agro,Wheat,57,KGS,"1,710/-",Pending,57.0,1710.0,30.0
MDM011101,2025-10-10,SCH0283,Sharma Traders,Atta,28.5,KGS,855/-,Pending,28.5,855.0,30.0
MDM011169,2026-02-11,0113,S. Agro Works,Rice,33.0 kg,,1320,Pending,33.0,1320.0,40.0
MDM004084,2025-04-06,SCH0037,Singh Brothers,Wheat,39.6,KG,1188,Paid,39.6,1188.0,30.0
MDM008099,2025-08-27,S0340,Sharma Traders,Wheat,21.5,Kgs,Rs. 645,Paid,21.5,0.645,0.030000000000000002
MDM009206,2025-08-27,S0366,Goyal Rice Mill,Pulses,0.5539999999999999,Bori,"Rs. 2,493",Paid,27.699999999999996,0.2493,0.009000000000000001
MDM002217,2025-10-01,SCH0462,Singh Agro,Rice,,,"Rs. 1,800",Paid,0.0,0.18,0.0
MDM001670,2026-03-23,S0228,Goyal Mill,Edible Oil,37,KGS,"4,440/-",Paid,37.0,4440.0,120.0
MDM000813,2025-11-25,SCH0492,Sharma Traders,Wheat,0.8959999999999999,Sacks,"Rs. 1,344",Paid,44.8,0.1344,0.003
MDM011888,2026-06-02,SCH0321,Sharma Traders,Edible Oil,41900,g,,Pending,41.9,0.0,0.0
MDM008145,2025-03-10,S0462,Goyal Rice Mill,Edible Oil,16.3,kg,,Pending,16.3,0.0,0.0
MDM002981,2025-12-16,SCH0183,Singh Brothers,Pulses,,,"Rs. 3,159",Pending,0.0,0.3159,0.0
MDM005964,2026-02-16,SCH0424,S. Agro Works,Wheat,52.5,KGS,1575,Pending,52.5,1575.0,30.0
MDM007657,2025-10-07,S0117,S. Agro Works,Edible Oil,46.6 kg,,"Rs. 5,592",Pending,46.6,0.5592,0.012
MDM006963,2025-04-29,SCH0061,Kumar & Co.,Edible Oil,0.7120000000000001,Bags,"₹4,272",Paid,35.6,4272.0,120.0
MDM000742,2026-03-20,SCH0076,S. Agro Works,Pulses,34.2,KG,"₹3,078",Pending,34.2,3078.0,89.99999999999999
