record_id,date,school_id,grade,total_students,present_students,teacher_present,marked_by,is_impossible_attendance,attendance_valid,attendance_rate_pct,day_of_week,is_sunday,is_proxy_fraud
ATT0014650,2025-07-26,SCH0596,5,85,60,True,Admin,False,True,70.58823529411765,Saturday,False,False
ATT0009232,2025-03-11,SCH0054,I,197,119,True,Admin,False,True,60.40609137055838,Tuesday,False,False
ATT0006474,2025-05-16,SCH0433,5,58,52,True,Class Teacher,False,True,89.65517241379311,Friday,False,False
ATT0018737,2025-04-21,SCH0379,6,94,71,,Unknown,False,True,75.53191489361703,Monday,False,False
ATT0012348,2025-08-30,SCH0208,I,234,194,True,Admin,False,True,82.90598290598291,Saturday,False,False
ATT0017158,2025-05-19,SCH0505,II,85,58,False,Unknown,False,True,68.23529411764706,Monday,False,False
ATT0014975,2025-04-15,SCH0128,II,236,189,True,Unknown,False,True,80.08474576271186,Tuesday,False,False
ATT0011151,2025-06-24,SCH0393,6,261,197,,Admin,False,True,75.47892720306514,Tuesday,False,False
ATT0002175,2025-05-17,SCH0398,III,260,271,True,Unknown,True,False,,Saturday,False,False
ATT0001505,2025-05-04,SCH0377,8,151,125,True,Clerk,False,True,82.78145695364239,Sunday,True,False
ATT0008971,2025-09-07,SCH0268,7,96,61,True,Unknown,False,True,63.541666666666664,Sunday,True,False
ATT0000448,2025-07-30,0286,1,272,261,True,Clerk,False,True,95.95588235294117,Wednesday,False,False
ATT0007459,2025-05-26,SCH0403,8,181,188,True,Headmaster,True,False,,Monday,False,False
ATT0019075,2025-10-30,S0212,2,259,241,True,Unknown,False,True,93.05019305019306,Thursday,False,False
ATT0005117,2025-09-20,SCH0434,8,287,190,,Unknown,False,True,66.2020905923345,Saturday,False,False
ATT0013119,2026-02-18,SCH0555,V,145,122,,Admin,False,True,84.13793103448276,Wednesday,False,False
ATT0013105,2026-01-24,SCH0074,9,163,146,True,Headmaster,False,True,89.57055214723927,Saturday,False,False
ATT0006545,2025-08-08,SCH0335,II,110,100,True,Unknown,False,True,90.9090909090909,Friday,False,False
ATT0010646,2026-10-01,SCH0329,I,79,74,,Clerk,False,True,93.67088607594937,Thursday,False,False
ATT0008701,2025-10-10,SCH0369,V,288,231,True,Unknown,False,True,80.20833333333334,Friday,False,False
ATT0005000,2025-12-04,S0180,1,224,177,,Admin,False,True,79.01785714285714,Thursday,False,False
ATT0001394,2025-09-07,0328,I,183,183,,Admin,False,True,100.0,Sunday,True,True
ATT0011718,2025-07-12,SCH0188,V,167,167,True,Clerk,False,True,100.0,Saturday,False,False
ATT0004412,2025-08-05,SCH0352,IV,70,46,,Unknown,False,True,65.71428571428571,Tuesday,False,False
ATT0016357,2025-09-11,S0217,II,61,43,True,Clerk,False,True,70.49180327868852,Thursday,False,False
ATT0010389,2025-10-23,SCH0454,5,187,131,True,Headmaster,False,True,70.05347593582889,Thursday,False,False
ATT0004549,2025-10-01,SCH0517,3,70,61,,Admin,False,True,87.14285714285714,Wednesday,False,False
ATT0003932,2025-11-09,SCH0451,III,296,296,True,Headmaster,False,True,100.0,Sunday,True,True
ATT0010030,2025-10-27,SCH0598,IV,218,151,True,Headmaster,False,True,69.26605504587155,Monday,False,False
ATT0003617,2025-08-22,SCH0304,5,74,47,True,Class Teacher,False,True,63.51351351351351,Friday,False,False
ATT0010130,2026-03-03,SCH0572,1,273,205,,Unknown,False,True,75.0915750915751,Tuesday,False,False
ATT0002302,2026-03-25,SCH0453,IV,135,96,,Headmaster,False,True,71.11111111111111,Wednesday,False,False
ATT0008115,2025-10-31,SCH0203,1,140,125,,Clerk,False,True,89.28571428571429,Friday,False,False
ATT0011369,2025-06-10,SCH0215,5,284,183,True,Clerk,False,True,64.43661971830986,Tuesday,False,False
ATT0013204,2025-09-30,S0083,6,254,182,,Headmaster,False,True,71.65354330708661,Tuesday,False,False
ATT0014748,2026-02-27,SCH0418,8,284,270,True,Clerk,False,True,95.07042253521126,Friday,False,False
ATT0009013,2025-10-10,SCH0300,5,257,173,True,Headmaster,False,True,67.31517509727627,Friday,False,False
ATT0012196,2026-12-03,SCH0400,2,215,183,True,Class Teacher,False,True,85.11627906976744,Thursday,False,False
ATT0014093,2025-05-29,SCH0253,3,267,213,True,Unknown,False,True,79.7752808988764,Thursday,False,False
ATT0010139,2025-10-08,SCH0534,1,126,80,True,Headmaster,False,True,63.49206349206349,Wednesday,False,False
